Field,Profession,Job Description,Personality,Type of Interest,Associated Skills
Transportation,Renewable Energy Engineer,Designs sustainable energy solutions.,"ESFJ,ISTP","Realistic, Investigative","General Analytical, Communication, Problem-Solving"
Research,Epidemiologist,Studies disease outbreaks and health trends.,"ISFJ,INTJ","Realistic, Investigative","General Analytical, Communication, Problem-Solving"
Finance,Data Scientist,Analyzes complex data to provide insights.,"ESTJ,ISFP",Realistic,"Python, SQL, Machine Learning, Statistics"
Healthcare,Machine Learning Engineer,Develops AI models for automated tasks.,"ISTP,ESFJ",Social,"Deep Learning, TensorFlow, Python, AI Algorithms"
Engineering,Cybersecurity Analyst,Protects systems from cyber threats.,"INTJ,ENTP","Realistic, Investigative","Network Security, Ethical Hacking, Risk Management"
Media,Neurosurgeon,Performs surgeries related to brain and nervous system.,"ISFP,ENTP",Conventional,"Neurosurgery, Patient Care, Critical Thinking"
Aviation,Forensic Scientist,Analyzes evidence for criminal investigations.,"ESFJ,ISTP",Enterprising,"Criminal Investigation, DNA Analysis, Chemistry"
Research,Game Developer,Creates and develops video games.,"ISFJ,ESFJ",Social,"General Analytical, Communication, Problem-Solving"
Hospitality,Meteorologist,Studies weather patterns and predicts forecasts.,"ESTP,ISFP",Artistic,"General Analytical, Communication, Problem-Solving"
Entertainment,Architect,Designs buildings and urban structures.,"ENFJ,ISFJ",Realistic,"General Analytical, Communication, Problem-Solving"
Environment,Astronomer,Studies celestial objects and the universe.,"ISFJ,ENFP",Realistic,"General Analytical, Communication, Problem-Solving"
Healthcare,Investment Banker,Provides financial advice and investment strategies.,"ENTJ,INTP",Conventional,"General Analytical, Communication, Problem-Solving"
Entertainment,Marine Biologist,Studies ocean life and marine ecosystems.,"ESFP,ENFP","Realistic, Investigative","General Analytical, Communication, Problem-Solving"
Media,UX Researcher,Improves user experience based on data insights.,"ESTP,ESTJ",Realistic,"General Analytical, Communication, Problem-Solving"
Education,Robotics Engineer,Designs and builds robotic systems.,"ISFP,ISFP",Investigative,"General Analytical, Communication, Problem-Solving"
Media,Sports Psychologist,Enhances athletes' mental performance.,"ISTP,ENTJ",Social,"General Analytical, Communication, Problem-Solving"
Engineering,AI Ethics Consultant,Ensures responsible and ethical AI usage.,"INFP,INFJ","Realistic, Investigative","General Analytical, Communication, Problem-Solving"
Retail,Biotech Researcher,Develops biotechnological solutions for medicine.,"INTJ,ENTP",Artistic,"General Analytical, Communication, Problem-Solving"
Science,Music Composer,Creates and arranges musical pieces.,"INTJ,INTJ",Social,"General Analytical, Communication, Problem-Solving"
Social Work,Space Scientist,Studies outer space and planetary science.,"ESFJ,ENFJ",Realistic,"General Analytical, Communication, Problem-Solving"
Finance,Renewable Energy Engineer,Designs sustainable energy solutions.,"INTP,INTP",Realistic,"General Analytical, Communication, Problem-Solving"
Retail,Epidemiologist,Studies disease outbreaks and health trends.,"ISFJ,INFP",Realistic,"General Analytical, Communication, Problem-Solving"
Agriculture,Data Scientist,Analyzes complex data to provide insights.,"ENTP,ESTP",Enterprising,"Python, SQL, Machine Learning, Statistics"
Technology,Machine Learning Engineer,Develops AI models for automated tasks.,"INFP,ISTJ","Conventional, Investigative","Deep Learning, TensorFlow, Python, AI Algorithms"
Business,Cybersecurity Analyst,Protects systems from cyber threats.,"ISFJ,INFJ",Social,"Network Security, Ethical Hacking, Risk Management"
Healthcare,Neurosurgeon,Performs surgeries related to brain and nervous system.,"INTP,INFJ",Social,"Neurosurgery, Patient Care, Critical Thinking"
Sports,Forensic Scientist,Analyzes evidence for criminal investigations.,"ISTJ,ISFJ",Conventional,"Criminal Investigation, DNA Analysis, Chemistry"
Healthcare,Game Developer,Creates and develops video games.,"ISTP,ISTJ",Social,"General Analytical, Communication, Problem-Solving"
Research,Meteorologist,Studies weather patterns and predicts forecasts.,"INTP,ENTP",Enterprising,"General Analytical, Communication, Problem-Solving"
Hospitality,Architect,Designs buildings and urban structures.,"ENTJ,ESTP",Social,"General Analytical, Communication, Problem-Solving"
Manufacturing,Astronomer,Studies celestial objects and the universe.,"INFP,INTJ",Investigative,"General Analytical, Communication, Problem-Solving"
Science,Investment Banker,Provides financial advice and investment strategies.,"ENTJ,INTJ",Social,"General Analytical, Communication, Problem-Solving"
Engineering,Marine Biologist,Studies ocean life and marine ecosystems.,"INFP,INTJ","Conventional, Investigative","General Analytical, Communication, Problem-Solving"
Politics,UX Researcher,Improves user experience based on data insights.,"ENFP,ESFP",Realistic,"General Analytical, Communication, Problem-Solving"
Hospitality,Robotics Engineer,Designs and builds robotic systems.,"INTP,INTJ",Realistic,"General Analytical, Communication, Problem-Solving"
Business,Sports Psychologist,Enhances athletes' mental performance.,"ESFJ,ISTJ",Artistic,"General Analytical, Communication, Problem-Solving"
Law,AI Ethics Consultant,Ensures responsible and ethical AI usage.,"INTP,INFP",Enterprising,"General Analytical, Communication, Problem-Solving"
Finance,Biotech Researcher,Develops biotechnological solutions for medicine.,"ISTP,ISFP","Conventional, Investigative","General Analytical, Communication, Problem-Solving"
Education,Music Composer,Creates and arranges musical pieces.,"INFP,ISTP",Realistic,"General Analytical, Communication, Problem-Solving"
Hospitality,Space Scientist,Studies outer space and planetary science.,"ISTJ,ESFP",Artistic,"General Analytical, Communication, Problem-Solving"
Business,Renewable Energy Engineer,Designs sustainable energy solutions.,"ESTJ,ISTJ",Enterprising,"General Analytical, Communication, Problem-Solving"
Agriculture,Epidemiologist,Studies disease outbreaks and health trends.,"INTP,INFJ",Realistic,"General Analytical, Communication, Problem-Solving"
Entertainment,Data Scientist,Analyzes complex data to provide insights.,"ISFP,ESTJ",Conventional,"Python, SQL, Machine Learning, Statistics"
Social Work,Machine Learning Engineer,Develops AI models for automated tasks.,"ISTJ,ESFP",Conventional,"Deep Learning, TensorFlow, Python, AI Algorithms"
Hospitality,Cybersecurity Analyst,Protects systems from cyber threats.,"INFP,ESFP",Investigative,"Network Security, Ethical Hacking, Risk Management"
Education,Neurosurgeon,Performs surgeries related to brain and nervous system.,"ISTP,INFJ",Enterprising,"Neurosurgery, Patient Care, Critical Thinking"
Law,Forensic Scientist,Analyzes evidence for criminal investigations.,"INFP,ESTP",Artistic,"Criminal Investigation, DNA Analysis, Chemistry"
Aviation,Game Developer,Creates and develops video games.,"ESFJ,ESTP",Conventional,"General Analytical, Communication, Problem-Solving"
Law,Meteorologist,Studies weather patterns and predicts forecasts.,"ISFJ,ENTJ",Investigative,"General Analytical, Communication, Problem-Solving"
Hospitality,Architect,Designs buildings and urban structures.,"ENTJ,ENTJ",Artistic,"General Analytical, Communication, Problem-Solving"
Social Work,Astronomer,Studies celestial objects and the universe.,"INTP,ESTP",Artistic,"General Analytical, Communication, Problem-Solving"
Environment,Investment Banker,Provides financial advice and investment strategies.,"ESFJ,ISTP",Artistic,"General Analytical, Communication, Problem-Solving"
Transportation,Marine Biologist,Studies ocean life and marine ecosystems.,"ISFJ,INFP",Enterprising,"General Analytical, Communication, Problem-Solving"
Military,UX Researcher,Improves user experience based on data insights.,"ENFP,ISTJ","Conventional, Investigative","General Analytical, Communication, Problem-Solving"
Arts,Robotics Engineer,Designs and builds robotic systems.,"ESFP,ENTJ","Conventional, Investigative","General Analytical, Communication, Problem-Solving"
Education,Sports Psychologist,Enhances athletes' mental performance.,"ENFP,ISTP","Realistic, Investigative","General Analytical, Communication, Problem-Solving"
Telecommunications,AI Ethics Consultant,Ensures responsible and ethical AI usage.,"INFP,ESFP",Investigative,"General Analytical, Communication, Problem-Solving"
Finance,Biotech Researcher,Develops biotechnological solutions for medicine.,"INFP,ESTP",Artistic,"General Analytical, Communication, Problem-Solving"
Construction,Music Composer,Creates and arranges musical pieces.,"ISFJ,INFJ","Conventional, Investigative","General Analytical, Communication, Problem-Solving"
Construction,Space Scientist,Studies outer space and planetary science.,"ENTJ,ENTJ","Conventional, Investigative","General Analytical, Communication, Problem-Solving"
Technology,Renewable Energy Engineer,Designs sustainable energy solutions.,"ISTJ,ENTP","Realistic, Investigative","General Analytical, Communication, Problem-Solving"
Politics,Epidemiologist,Studies disease outbreaks and health trends.,"ESTP,ENFP",Enterprising,"General Analytical, Communication, Problem-Solving"
Education,Data Scientist,Analyzes complex data to provide insights.,"ENFP,ISTP","Realistic, Investigative","Python, SQL, Machine Learning, Statistics"
Aviation,Machine Learning Engineer,Develops AI models for automated tasks.,"ISFP,ISFP",Conventional,"Deep Learning, TensorFlow, Python, AI Algorithms"
Media,Cybersecurity Analyst,Protects systems from cyber threats.,"INTP,ISTP",Social,"Network Security, Ethical Hacking, Risk Management"
Agriculture,Neurosurgeon,Performs surgeries related to brain and nervous system.,"INFP,INTJ",Realistic,"Neurosurgery, Patient Care, Critical Thinking"
Telecommunications,Forensic Scientist,Analyzes evidence for criminal investigations.,"ENTJ,ESFP","Conventional, Investigative","Criminal Investigation, DNA Analysis, Chemistry"
Healthcare,Game Developer,Creates and develops video games.,"ISFJ,INFJ",Investigative,"General Analytical, Communication, Problem-Solving"
Telecommunications,Meteorologist,Studies weather patterns and predicts forecasts.,"INFJ,ISTP","Realistic, Investigative","General Analytical, Communication, Problem-Solving"
Environment,Architect,Designs buildings and urban structures.,"ISFP,ENTJ",Conventional,"General Analytical, Communication, Problem-Solving"
Security,Astronomer,Studies celestial objects and the universe.,"ESFP,ISFP",Realistic,"General Analytical, Communication, Problem-Solving"
Environment,Investment Banker,Provides financial advice and investment strategies.,"ENTJ,ENFJ",Realistic,"General Analytical, Communication, Problem-Solving"
Politics,Marine Biologist,Studies ocean life and marine ecosystems.,"ENFP,ISFP",Social,"General Analytical, Communication, Problem-Solving"
Entertainment,UX Researcher,Improves user experience based on data insights.,"ESTP,ENFP",Artistic,"General Analytical, Communication, Problem-Solving"
Media,Robotics Engineer,Designs and builds robotic systems.,"ISTJ,INTJ",Investigative,"General Analytical, Communication, Problem-Solving"
Engineering,Sports Psychologist,Enhances athletes' mental performance.,"ENTP,INFJ",Enterprising,"General Analytical, Communication, Problem-Solving"
Business,AI Ethics Consultant,Ensures responsible and ethical AI usage.,"INFP,ESFJ","Conventional, Investigative","General Analytical, Communication, Problem-Solving"
Education,Biotech Researcher,Develops biotechnological solutions for medicine.,"ISFJ,ISTP",Artistic,"General Analytical, Communication, Problem-Solving"
Business,Music Composer,Creates and arranges musical pieces.,"ISTJ,ESTP",Enterprising,"General Analytical, Communication, Problem-Solving"
Aviation,Space Scientist,Studies outer space and planetary science.,"INFP,ESFJ",Realistic,"General Analytical, Communication, Problem-Solving"
Entertainment,Renewable Energy Engineer,Designs sustainable energy solutions.,"ESFP,ENTP",Realistic,"General Analytical, Communication, Problem-Solving"
Media,Epidemiologist,Studies disease outbreaks and health trends.,"INTP,INTJ",Realistic,"General Analytical, Communication, Problem-Solving"
Science,Data Scientist,Analyzes complex data to provide insights.,"INTP,ENTP",Investigative,"Python, SQL, Machine Learning, Statistics"
Hospitality,Machine Learning Engineer,Develops AI models for automated tasks.,"ENTP,ESTP",Investigative,"Deep Learning, TensorFlow, Python, AI Algorithms"
Construction,Cybersecurity Analyst,Protects systems from cyber threats.,"ESFP,ENTJ","Realistic, Investigative","Network Security, Ethical Hacking, Risk Management"
Agriculture,Neurosurgeon,Performs surgeries related to brain and nervous system.,"ESFJ,ENFP",Investigative,"Neurosurgery, Patient Care, Critical Thinking"
Agriculture,Forensic Scientist,Analyzes evidence for criminal investigations.,"INFP,INFP","Conventional, Investigative","Criminal Investigation, DNA Analysis, Chemistry"
Telecommunications,Game Developer,Creates and develops video games.,"ISFP,ESTP","Conventional, Investigative","General Analytical, Communication, Problem-Solving"
Education,Meteorologist,Studies weather patterns and predicts forecasts.,"ENTP,INTJ","Realistic, Investigative","General Analytical, Communication, Problem-Solving"
Telecommunications,Architect,Designs buildings and urban structures.,"INTJ,INFP",Enterprising,"General Analytical, Communication, Problem-Solving"
Business,Astronomer,Studies celestial objects and the universe.,"INFP,ISTJ","Realistic, Investigative","General Analytical, Communication, Problem-Solving"
Law,Investment Banker,Provides financial advice and investment strategies.,"INFJ,ESFP",Investigative,"General Analytical, Communication, Problem-Solving"
Politics,Marine Biologist,Studies ocean life and marine ecosystems.,"ENTP,ESTP",Investigative,"General Analytical, Communication, Problem-Solving"
Science,UX Researcher,Improves user experience based on data insights.,"ISTJ,ESFJ","Conventional, Investigative","General Analytical, Communication, Problem-Solving"
Transportation,Robotics Engineer,Designs and builds robotic systems.,"INTP,INTJ",Realistic,"General Analytical, Communication, Problem-Solving"
Security,Sports Psychologist,Enhances athletes' mental performance.,"ESTP,ESTP",Artistic,"General Analytical, Communication, Problem-Solving"
Business,AI Ethics Consultant,Ensures responsible and ethical AI usage.,"ENFJ,ISTP",Social,"General Analytical, Communication, Problem-Solving"
Law,Biotech Researcher,Develops biotechnological solutions for medicine.,"ESTJ,ISFP","Realistic, Investigative","General Analytical, Communication, Problem-Solving"
Law,Music Composer,Creates and arranges musical pieces.,"ISTP,ENFJ",Conventional,"General Analytical, Communication, Problem-Solving"
Sports,Space Scientist,Studies outer space and planetary science.,"ISFJ,ISTJ",Conventional,"General Analytical, Communication, Problem-Solving"
Science,Renewable Energy Engineer,Designs sustainable energy solutions.,"ESTP,INTP",Investigative,"General Analytical, Communication, Problem-Solving"
Agriculture,Epidemiologist,Studies disease outbreaks and health trends.,"INFP,INTP","Conventional, Investigative","General Analytical, Communication, Problem-Solving"
Media,Data Scientist,Analyzes complex data to provide insights.,"ENTP,ENTJ","Conventional, Investigative","Python, SQL, Machine Learning, Statistics"
Agriculture,Machine Learning Engineer,Develops AI models for automated tasks.,"INTP,INFJ",Social,"Deep Learning, TensorFlow, Python, AI Algorithms"
Sports,Cybersecurity Analyst,Protects systems from cyber threats.,"INFJ,ESTJ",Conventional,"Network Security, Ethical Hacking, Risk Management"
Social Work,Neurosurgeon,Performs surgeries related to brain and nervous system.,"ENFP,INTJ",Investigative,"Neurosurgery, Patient Care, Critical Thinking"
Military,Forensic Scientist,Analyzes evidence for criminal investigations.,"ENFP,ESTJ",Artistic,"Criminal Investigation, DNA Analysis, Chemistry"
Telecommunications,Game Developer,Creates and develops video games.,"ISFJ,ENTJ","Realistic, Investigative","General Analytical, Communication, Problem-Solving"
Construction,Meteorologist,Studies weather patterns and predicts forecasts.,"ISFP,ESTP","Conventional, Investigative","General Analytical, Communication, Problem-Solving"
Research,Architect,Designs buildings and urban structures.,"ESTP,ISFJ",Realistic,"General Analytical, Communication, Problem-Solving"
Entertainment,Astronomer,Studies celestial objects and the universe.,"ENTP,ESFJ","Realistic, Investigative","General Analytical, Communication, Problem-Solving"
Research,Investment Banker,Provides financial advice and investment strategies.,"ISFJ,ISTJ",Enterprising,"General Analytical, Communication, Problem-Solving"
Telecommunications,Marine Biologist,Studies ocean life and marine ecosystems.,"ENFJ,ISFJ",Artistic,"General Analytical, Communication, Problem-Solving"
Healthcare,UX Researcher,Improves user experience based on data insights.,"ESTP,ISTJ","Conventional, Investigative","General Analytical, Communication, Problem-Solving"
Research,Robotics Engineer,Designs and builds robotic systems.,"INTP,ISTJ",Conventional,"General Analytical, Communication, Problem-Solving"
Media,Sports Psychologist,Enhances athletes' mental performance.,"ISTJ,ISFP",Enterprising,"General Analytical, Communication, Problem-Solving"
Entertainment,AI Ethics Consultant,Ensures responsible and ethical AI usage.,"ISFP,ENFP",Conventional,"General Analytical, Communication, Problem-Solving"
Aviation,Biotech Researcher,Develops biotechnological solutions for medicine.,"ESTJ,ESTP",Artistic,"General Analytical, Communication, Problem-Solving"
Retail,Music Composer,Creates and arranges musical pieces.,"ISTJ,INTJ",Artistic,"General Analytical, Communication, Problem-Solving"
Transportation,Space Scientist,Studies outer space and planetary science.,"INTP,ENTP",Conventional,"General Analytical, Communication, Problem-Solving"
Technology,Renewable Energy Engineer,Designs sustainable energy solutions.,"ENTP,INFP",Investigative,"General Analytical, Communication, Problem-Solving"
Security,Epidemiologist,Studies disease outbreaks and health trends.,"ISFP,ISTJ","Realistic, Investigative","General Analytical, Communication, Problem-Solving"
Security,Data Scientist,Analyzes complex data to provide insights.,"ESTP,ENFP",Realistic,"Python, SQL, Machine Learning, Statistics"
Law,Machine Learning Engineer,Develops AI models for automated tasks.,"ESFP,INTJ",Realistic,"Deep Learning, TensorFlow, Python, AI Algorithms"
Military,Cybersecurity Analyst,Protects systems from cyber threats.,"ISTJ,ISTJ",Social,"Network Security, Ethical Hacking, Risk Management"
Sports,Neurosurgeon,Performs surgeries related to brain and nervous system.,"INFP,ISFJ",Social,"Neurosurgery, Patient Care, Critical Thinking"
Construction,Forensic Scientist,Analyzes evidence for criminal investigations.,"ISFJ,INTP","Conventional, Investigative","Criminal Investigation, DNA Analysis, Chemistry"
Military,Game Developer,Creates and develops video games.,"ENTJ,ESFJ",Investigative,"General Analytical, Communication, Problem-Solving"
Business,Meteorologist,Studies weather patterns and predicts forecasts.,"INTP,ESTJ","Conventional, Investigative","General Analytical, Communication, Problem-Solving"
Law,Architect,Designs buildings and urban structures.,"INTJ,ESFJ","Realistic, Investigative","General Analytical, Communication, Problem-Solving"
Environment,Astronomer,Studies celestial objects and the universe.,"ESTJ,ISTP",Investigative,"General Analytical, Communication, Problem-Solving"
Social Work,Investment Banker,Provides financial advice and investment strategies.,"INTP,ISFP","Conventional, Investigative","General Analytical, Communication, Problem-Solving"
Engineering,Marine Biologist,Studies ocean life and marine ecosystems.,"ISTJ,INTJ",Social,"General Analytical, Communication, Problem-Solving"
Retail,UX Researcher,Improves user experience based on data insights.,"ESTP,ENFP",Enterprising,"General Analytical, Communication, Problem-Solving"
Construction,Robotics Engineer,Designs and builds robotic systems.,"INTP,ISTP",Conventional,"General Analytical, Communication, Problem-Solving"
Transportation,Sports Psychologist,Enhances athletes' mental performance.,"ISFP,INTJ","Conventional, Investigative","General Analytical, Communication, Problem-Solving"
Environment,AI Ethics Consultant,Ensures responsible and ethical AI usage.,"ENTJ,ESFP",Investigative,"General Analytical, Communication, Problem-Solving"
Social Work,Biotech Researcher,Develops biotechnological solutions for medicine.,"ESTJ,ESFJ","Conventional, Investigative","General Analytical, Communication, Problem-Solving"
Finance,Music Composer,Creates and arranges musical pieces.,"INTP,ESFJ",Enterprising,"General Analytical, Communication, Problem-Solving"
Retail,Space Scientist,Studies outer space and planetary science.,"ESFJ,ENFJ","Conventional, Investigative","General Analytical, Communication, Problem-Solving"
Sports,Renewable Energy Engineer,Designs sustainable energy solutions.,"ISTP,ISTJ",Conventional,"General Analytical, Communication, Problem-Solving"
Telecommunications,Epidemiologist,Studies disease outbreaks and health trends.,"ENFJ,ISTP",Artistic,"General Analytical, Communication, Problem-Solving"
Research,Data Scientist,Analyzes complex data to provide insights.,"ENTJ,ISFP","Realistic, Investigative","Python, SQL, Machine Learning, Statistics"
Business,Machine Learning Engineer,Develops AI models for automated tasks.,"ESTP,ESTP",Enterprising,"Deep Learning, TensorFlow, Python, AI Algorithms"
Security,Cybersecurity Analyst,Protects systems from cyber threats.,"ENFP,INTP",Investigative,"Network Security, Ethical Hacking, Risk Management"
Agriculture,Neurosurgeon,Performs surgeries related to brain and nervous system.,"ENFP,ISFP",Artistic,"Neurosurgery, Patient Care, Critical Thinking"
Telecommunications,Forensic Scientist,Analyzes evidence for criminal investigations.,"ISTP,ESTJ","Conventional, Investigative","Criminal Investigation, DNA Analysis, Chemistry"
Engineering,Game Developer,Creates and develops video games.,"ENTP,INFP",Enterprising,"General Analytical, Communication, Problem-Solving"
Technology,Meteorologist,Studies weather patterns and predicts forecasts.,"INFJ,ISTJ",Artistic,"General Analytical, Communication, Problem-Solving"
Military,Architect,Designs buildings and urban structures.,"ESFP,ENFJ",Enterprising,"General Analytical, Communication, Problem-Solving"
Politics,Astronomer,Studies celestial objects and the universe.,"ENFJ,ISFJ","Realistic, Investigative","General Analytical, Communication, Problem-Solving"
Research,Investment Banker,Provides financial advice and investment strategies.,"ESFP,ESFJ",Enterprising,"General Analytical, Communication, Problem-Solving"
Business,Marine Biologist,Studies ocean life and marine ecosystems.,"INTP,ISFJ",Social,"General Analytical, Communication, Problem-Solving"
Research,UX Researcher,Improves user experience based on data insights.,"ESFJ,ISFJ","Conventional, Investigative","General Analytical, Communication, Problem-Solving"
Construction,Robotics Engineer,Designs and builds robotic systems.,"ESTJ,ENFJ","Conventional, Investigative","General Analytical, Communication, Problem-Solving"
Environment,Sports Psychologist,Enhances athletes' mental performance.,"INFP,INFP",Conventional,"General Analytical, Communication, Problem-Solving"
Media,AI Ethics Consultant,Ensures responsible and ethical AI usage.,"ESFP,INFP",Social,"General Analytical, Communication, Problem-Solving"
Aviation,Biotech Researcher,Develops biotechnological solutions for medicine.,"ENTJ,INFP",Social,"General Analytical, Communication, Problem-Solving"
Law,Music Composer,Creates and arranges musical pieces.,"ENTP,ESTJ","Realistic, Investigative","General Analytical, Communication, Problem-Solving"
Science,Space Scientist,Studies outer space and planetary science.,"ENFP,ISFJ",Investigative,"General Analytical, Communication, Problem-Solving"
Hospitality,Renewable Energy Engineer,Designs sustainable energy solutions.,"ISTP,ISFP",Investigative,"General Analytical, Communication, Problem-Solving"
Transportation,Epidemiologist,Studies disease outbreaks and health trends.,"INTJ,INFP",Conventional,"General Analytical, Communication, Problem-Solving"
Social Work,Data Scientist,Analyzes complex data to provide insights.,"INFJ,ESFP","Conventional, Investigative","Python, SQL, Machine Learning, Statistics"
Manufacturing,Machine Learning Engineer,Develops AI models for automated tasks.,"ISTJ,ENTP",Enterprising,"Deep Learning, TensorFlow, Python, AI Algorithms"
Aviation,Cybersecurity Analyst,Protects systems from cyber threats.,"INFJ,ISFP",Artistic,"Network Security, Ethical Hacking, Risk Management"
Transportation,Neurosurgeon,Performs surgeries related to brain and nervous system.,"INTP,INFP",Social,"Neurosurgery, Patient Care, Critical Thinking"
Law,Forensic Scientist,Analyzes evidence for criminal investigations.,"INTP,ESTJ",Enterprising,"Criminal Investigation, DNA Analysis, Chemistry"
Construction,Game Developer,Creates and develops video games.,"INFP,ENFP",Social,"General Analytical, Communication, Problem-Solving"
Construction,Meteorologist,Studies weather patterns and predicts forecasts.,"INTP,ISTP",Investigative,"General Analytical, Communication, Problem-Solving"
Finance,Architect,Designs buildings and urban structures.,"ISTP,ISTP","Conventional, Investigative","General Analytical, Communication, Problem-Solving"
Business,Astronomer,Studies celestial objects and the universe.,"ENTP,ISFP","Conventional, Investigative","General Analytical, Communication, Problem-Solving"
Entertainment,Investment Banker,Provides financial advice and investment strategies.,"ESFP,ENTJ",Realistic,"General Analytical, Communication, Problem-Solving"
Business,Marine Biologist,Studies ocean life and marine ecosystems.,"INTJ,ISFP","Conventional, Investigative","General Analytical, Communication, Problem-Solving"
Arts,UX Researcher,Improves user experience based on data insights.,"INTP,ENFP",Realistic,"General Analytical, Communication, Problem-Solving"
